code,mode,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,archetype_title
1000,similarity,5,0,4,2,1,5,1,0,4,4,The Quiet Observer
1001,similarity,3,4,2,3,4,4,2,3,2,0,The Aesthetic Rover
1002,similarity,1,5,3,1,2,0,1,3,0,3,The Pure Creator
1003,similarity,3,3,1,0,5,1,2,2,1,5,The Midnight Coder
1004,similarity,1,3,2,4,5,2,3,1,5,1,The Quiet Observer
1005,similarity,5,2,2,3,3,2,2,0,0,4,The Focused Builder
1006,similarity,3,2,0,2,0,3,3,5,4,4,The Direct Idealist
1007,similarity,5,1,1,0,4,4,4,4,0,0,The Spontaneous Socialite
1008,similarity,3,1,5,5,3,0,4,4,3,3,The Calm Strategist
1009,similarity,1,0,5,4,1,1,5,1,1,5,The Focused Builder
1010,similarity,3,0,0,2,4,0,0,0,2,1,The Free Spirit
1011,similarity,1,5,4,1,2,2,5,5,0,4,The Spontaneous Socialite
1012,similarity,5,5,5,5,0,3,0,4,1,0,The Quiet Observer
1013,similarity,3,4,5,4,5,4,1,4,5,2,The Aesthetic Rover
1014,similarity,5,4,3,3,3,3,2,3,1,5,The Grounded Loyalist
1015,similarity,3,3,4,1,0,5,1,2,4,5,The Midnight Coder
1016,similarity,1,3,2,0,4,0,2,1,0,1,The Quiet Observer
1017,similarity,3,1,3,5,4,1,3,4,3,3,The Minimalist Architect
1018,similarity,1,0,3,3,1,1,3,3,1,0,The Grounded Loyalist
1019,similarity,5,0,1,2,5,2,4,3,2,2,The Spontaneous Socialite
1020,similarity,1,5,2,0,2,3,5,2,0,4,The Direct Idealist
1021,similarity,5,5,0,5,2,5,4,1,2,1,The Digital Nomad
1022,similarity,3,4,1,4,0,0,5,0,5,3,The Free Spirit
1023,similarity,1,4,1,2,3,5,0,5,1,5,The Spontaneous Socialite
1024,similarity,3,3,5,1,1,1,1,4,4,0,The Pure Creator
1025,similarity,1,3,0,0,0,2,0,2,2,2,The Digital Nomad
1026,similarity,5,2,0,0,4,3,1,1,3,4,The Grounded Loyalist
1027,similarity,1,2,4,5,2,3,2,0,1,1,The Aesthetic Rover
1028,similarity,5,1,5,3,5,4,1,5,3,3,The Direct Idealist
1029,similarity,3,1,3,2,3,5,3,4,0,5,The Minimalist Architect
1030,similarity,1,5,4,1,2,0,4,4,2,2,The Grounded Loyalist
1031,similarity,3,0,4,5,0,2,3,3,5,4,The Focused Builder
1032,similarity,1,4,2,4,3,1,4,2,1,4,The Direct Idealist
1033,similarity,5,5,3,2,1,2,5,5,4,0,The Digital Nomad
1034,similarity,1,3,1,1,1,4,0,4,2,3,The Calm Strategist
1035,similarity,5,2,2,0,4,5,5,3,4,5,The Aesthetic Rover
1036,similarity,3,2,2,4,2,4,0,3,1,1,The Pure Creator
1037,similarity,1,1,0,3,5,0,1,2,3,4,The Digital Nomad
1038,similarity,3,1,1,2,5,1,0,1,0,0,The Quiet Observer
1039,similarity,1,0,5,0,3,2,1,0,2,2,The Aesthetic Rover
1040,similarity,5,0,5,5,0,4,3,5,5,5,The Direct Idealist
1041,similarity,1,5,0,3,4,3,2,3,1,5,The Midnight Coder
1042,similarity,5,5,4,2,3,4,3,2,5,1,The Calm Strategist
1043,similarity,3,3,5,1,1,5,4,1,2,4,The Focused Builder
1044,similarity,5,4,5,5,5,1,5,0,4,0,The Free Spirit
1045,similarity,3,2,3,4,2,0,4,5,1,2,The Spontaneous Socialite
1046,similarity,1,3,4,3,0,1,5,4,3,5,The Calm Strategist
1047,similarity,5,1,2,1,5,3,0,4,1,1,The Aesthetic Rover
1048,similarity,1,2,3,0,3,4,5,1,2,3,The Free Spirit
1049,similarity,5,0,3,4,0,3,0,0,0,5,The Midnight Coder
1050,similarity,3,5,1,3,4,5,1,5,3,0,The Quiet Observer
1051,similarity,5,5,2,2,4,0,1,4,5,2,The Minimalist Architect
1052,similarity,3,4,0,2,1,1,2,3,2,4,The Grounded Loyalist
1053,similarity,1,4,1,1,5,3,3,3,4,1,The Midnight Coder
1054,similarity,5,3,1,0,2,2,4,2,2,3,The Calm Strategist
1055,similarity,1,3,5,4,2,3,3,1,3,5,The Minimalist Architect
1056,similarity,5,1,0,3,0,5,4,4,1,2,The Free Spirit
1057,similarity,3,2,0,1,3,0,5,3,2,4,The Spontaneous Socialite
1058,similarity,5,0,4,0,1,5,4,3,0,0,The Pure Creator
1059,similarity,3,1,5,5,4,0,5,2,3,1,The Digital Nomad
1060,similarity,1,5,3,3,4,2,0,1,5,3,The Free Spirit
1061,similarity,5,0,4,2,2,3,5,0,3,5,The Midnight Coder
1062,similarity,1,4,4,0,5,4,1,5,4,2,The Pure Creator
1063,similarity,5,5,2,5,3,4,2,4,2,4,The Minimalist Architect
1064,similarity,3,3,3,4,2,5,3,2,3,0,The Grounded Loyalist
1065,similarity,5,4,1,2,0,0,2,1,1,2,The Focused Builder
1066,similarity,3,2,2,1,4,2,3,0,4,5,The Direct Idealist
1067,similarity,1,1,2,0,1,1,4,5,0,1,The Minimalist Architect
1068,similarity,3,1,0,4,1,2,3,4,4,1,The Calm Strategist
1069,similarity,1,5,1,3,4,4,4,4,5,4,The Focused Builder
1070,similarity,5,0,1,1,2,5,5,3,3,0,The Pure Creator
1071,similarity,3,4,5,0,5,4,4,2,4,2,The Digital Nomad
1072,similarity,5,5,0,5,5,5,0,5,2,5,The Quiet Observer
1073,similarity,3,3,4,3,3,1,1,4,3,1,The Aesthetic Rover
1074,similarity,1,4,5,2,0,2,2,3,1,3,The Pure Creator
1075,similarity,3,2,5,1,4,3,1,3,5,0,The Midnight Coder
1076,similarity,1,3,3,5,1,3,2,2,0,0,The Quiet Observer
1077,similarity,5,1,4,0,1,4,3,1,4,2,The Focused Builder
1078,similarity,3,2,2,4,5,5,2,0,5,5,The Direct Idealist
1079,similarity,5,0,3,3,2,1,3,5,3,1,The Spontaneous Socialite
1080,similarity,3,1,3,2,0,0,4,2,4,3,The Calm Strategist
1081,similarity,1,5,1,0,5,1,3,2,2,5,The Focused Builder
1082,similarity,3,5,2,5,3,3,4,1,4,2,The Free Spirit
1083,similarity,1,4,0,4,1,4,0,0,1,4,The Spontaneous Socialite
1084,similarity,5,2,0,2,4,5,1,5,5,0,The Quiet Observer
1085,similarity,3,3,1,1,4,5,0,4,0,1,The Aesthetic Rover
1086,similarity,5,1,5,5,1,0,1,4,4,3,The Grounded Loyalist
1087,similarity,3,2,0,4,5,1,2,3,5,5,The Midnight Coder
1088,similarity,1,0,0,3,2,2,1,0,3,2,The Quiet Observer
1089,similarity,3,1,4,1,2,2,2,5,5,4,The Minimalist Architect
1090,similarity,0,5,5,0,0,3,3,4,2,0,The Midnight Coder
1091,similarity,4,0,3,4,3,4,2,3,0,3,The Calm Strategist
1092,similarity,2,4,4,3,1,0,3,3,1,5,The Focused Builder
1093,similarity,4,5,4,2,4,5,4,2,5,1,The Free Spirit
1094,similarity,2,3,2,0,4,0,0,1,1,2,The Spontaneous Socialite
1095,similarity,0,3,3,5,2,2,5,0,4,4,The Calm Strategist
1096,similarity,2,2,1,4,5,3,0,3,0,0,The Digital Nomad
1097,similarity,0,2,2,2,3,4,1,3,3,2,The Free Spirit
1098,similarity,4,1,2,1,2,4,0,2,5,5,The Midnight Coder
1099,similarity,0,1,0,5,0,5,1,1,2,1,The Pure Creator
1100,similarity,4,0,1,4,4,0,2,0,0,3,The Minimalist Architect
1101,similarity,2,4,1,3,1,1,1,5,2,0,The Grounded Loyalist
1102,similarity,0,5,5,3,1,1,2,4,5,2,The Midnight Coder
1103,similarity,2,3,0,2,4,2,3,2,1,2,The Direct Idealist
1104,similarity,0,4,4,1,2,3,4,1,4,5,The Minimalist Architect
1105,similarity,4,2,5,5,5,5,4,0,0,1,The Free Spirit
1106,similarity,0,3,5,4,3,0,5,5,3,3,The Focused Builder
1107,similarity,4,1,3,2,3,5,0,4,5,0,The Pure Creator
1108,similarity,2,1,4,1,0,1,5,4,3,2,The Digital Nomad
1109,similarity,0,0,2,0,4,2,0,3,0,4,The Free Spirit
1110,similarity,2,0,3,4,1,3,1,2,2,0,The Aesthetic Rover
1111,similarity,0,5,3,3,1,3,0,5,5,1,The Pure Creator
1112,similarity,4,5,1,2,5,4,1,4,1,3,The Minimalist Architect
1113,similarity,0,4,2,0,2,5,2,3,4,5,The Quiet Observer
1114,similarity,4,4,0,5,0,1,3,3,0,2,The Focused Builder
1115,similarity,2,3,0,3,5,2,2,2,4,4,The Direct Idealist
1116,similarity,0,1,1,2,3,1,4,1,1,0,The Minimalist Architect
1117,similarity,2,2,5,1,1,2,5,0,3,3,The Calm Strategist
1118,similarity,0,0,0,5,4,4,4,5,0,5,The Focused Builder
1119,similarity,4,1,0,4,4,5,5,2,2,1,The Pure Creator
