id,category,question,opt1,opt2,opt3,opt4,opt5,opt6,trait_axis
1,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Perspective A)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
2,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Perspective B)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
3,Best Friends & Quirks,What is your go-to move when your friend is feeling down (In High-Stress)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
4,Best Friends & Quirks,What is your go-to move when your friend is feeling down (On Weekends)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
5,Best Friends & Quirks,What is your go-to move when your friend is feeling down (With Strangers)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
6,Best Friends & Quirks,What is your go-to move when your friend is feeling down (With Inner Circle)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
7,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Looking Back)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
8,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Looking Ahead)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
9,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Raw Instinct)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
10,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Calculated)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
11,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Deep Focus)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
12,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Late Night)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
13,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Social Vibe)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
14,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Solo Mode)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
15,Best Friends & Quirks,What is your go-to move when your friend is feeling down (Real Talk)?,Bring over their favorite comfort food,Spam them with dumb reels until they laugh,Leave them alone until they are ready to talk,Take them on an impromptu night drive,Listen to them vent for two hours straight,Force them out of bed to do something active,Social
16,Best Friends & Quirks,What inside joke topic comes up the most (Perspective A)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
17,Best Friends & Quirks,What inside joke topic comes up the most (Perspective B)?,An embarrassing shared memory from years ago,A ridiculous mutual acquaintance,A cursed meme format,A disastrous trip or road event,A fictional scenario blown out of proportion,A specific misheard lyric or quote,Social
